Student#,Birth Place,I started Hunter as,How I travel to school, L/R handed,I would rather go to school than work,A High School should have a dress code,My favorite season is,I use a seat belt,I am registered to vote,My favorite sport to watch,My favorite sport to participate in,I play a musical instrument,I have a pet,My resting pulse is,I read this many books per year,Siblings,BirthOrder,I have earned this many credits,I study this many hours per week,I watch this many movies per year,I want to major in,My favorite color is,My favorite fruit is,At home I speak,My favorite subject is,My least favorite subject is,I watch this many hours of TV,Where I started school in,Buy text?,Read text?,Learn from reading the text?,Learn from reading my notes?,Learn from working problems?,Learn from rewriting my notes?,Learn from working with a tutor?,Learn from working with another student?,I took Statistics because ,I am Math-Anxious,I am good in math,Height,Weight,VerbalSAT,MathSAT,SAT,GPA
95,USA,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,football,basketball,TRUE,FALSE,5,2,2,2,15,4,2,journalism,blue,pear,English,math,urban life,6,USA,always,sometimes,yes,yes,yes,yes,yes,yes,chose to take,FALSE,TRUE,69,160,670,720,1390,3.5
86,USA,freshman,ride the subway,Right,TRUE,FALSE,FALL,TRUE,TRUE,baseball,bicycling,FALSE,TRUE,79,100,1,2,18,30,2,psychology,black,banana,English,no favorite,none,7,USA,always,always,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,76,275,610,640,1250,3.6
220,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,TRUE,TRUE,basketball,basketball,TRUE,FALSE,68,10,1,2,40,5,2,psychology,blue,cantaloupe,English,psychology,physics,10,USA,usually,never,no,no,yes,yes,yes,no,it's required,FALSE,FALSE,71,218,540,560,1100,2.72
177,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,football,baseball,FALSE,FALSE,unknown,3,2,1,12,12,2,psychology,blue,strawberry,English,psychology,math,10,USA,always,never,yes,yes,yes,no,yes,no,it's required,TRUE,FALSE,67,119,490,590,1080,2.1
262,Phillipines,freshman,ride the subway,Right,TRUE,TRUE,SPRING,FALSE,TRUE,basketball,swimming,TRUE,TRUE,62,1,0,1,36,48,2,nursing,blue,mango,English,math,humanities,28,Philippines,always,never,yes,yes,yes,yes,no,no,it's required,TRUE,TRUE,68,190,700,670,1370,3.2
94,USA,junior,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,TRUE,basketball,volleyball,FALSE,FALSE,unknown,20,3,2,54,12,3,psychology,red,orange,Spanish,English,history,1,USA,always,always,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,70,170,530,590,1120,3.88
61,USA,junior,ride the subway,Right,TRUE,FALSE,FALL,TRUE,FALSE,basketball,dance,FALSE,TRUE,unknown,3,3,4,28,3,3,psychology,purple,strawberry,English,math,history,5,USA,always,never,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,65,140,600,650,1250,3.3
105,USA,sophomore,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,gymnastics,soccer,TRUE,FALSE,69,6,1,1,81,4,3,psychology,lavender,apple,English,psychology,math,8,USA,always,always,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,65,150,720,450,1170,2.7
16,USA,senior,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,football,track,TRUE,FALSE,unknown,5,1,1,51,8,3,community health ,purple,cantaloupe,English,English,math,15,USA,usually,usually,yes,yes,yes,no,yes,yes,it's required,TRUE,FALSE,62,120,610,800,1410,3.35
229,Barbados,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,baseball,volleyball,FALSE,FALSE,72,3,2,1,13,20,3,nursing,blue,pineapple,English,math,psychology,20,Barbados,always,sometimes,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,72,165,520,670,1190,3.5
82,Tajikistan,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,volleyball,FALSE,FALSE,70,8,2,3,Unknown,15,4,computer science,red,orange,Russian,math,history,7,Tajikistan,always,sometimes,yes,yes,yes,yes,yes,no,it's required,FALSE,TRUE,73,200,520,620,1140,2.8
64,India,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,basketball,volleyball,TRUE,FALSE,unknown,4,2,1,12,5,4,physician asst.,green,orange,Gujarati,math,economics,8,USA,always,sometimes,yes,yes,yes,yes,yes,yes,chose to take,FALSE,TRUE,70,185,650,650,1300,3.2
204,Jordan,freshman,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,FALSE,basketball,basketball,FALSE,FALSE,80,5,3,4,15,12,4,physical therapy,silver,kiwi,English,math,art,40,India,always,never,yes,no,yes,no,no,no,it's required,FALSE,TRUE,71,160,560,580,1140,3.4
249,Israel,freshman,walk,Right,TRUE,FALSE,FALL,TRUE,FALSE,basketball,swimming,TRUE,FALSE,unknown,5,1,2,15,35,5,sociology,black,apple,Hebrew,sociology,science,8,Israel,always,never,no,no,no,no,no,no,it's required,FALSE,FALSE,62,115,740,660,1400,3.4
39,USA,sophomore,walk,Right,TRUE,FALSE,SPRING,TRUE,TRUE,track,racquetball,TRUE,FALSE,60,9,2,3,20,4,5,anthropology,purple,grape,English,religion,math,10,USA,always,sometimes,yes,yes,yes,yes,no,no,it's required,FALSE,TRUE,64,135,580,540,1120,2.4
215,Ukraine,freshman,ride the subway,Right,FALSE,TRUE,SUMMER,FALSE,FALSE,tennis,running,FALSE,TRUE,120,0,2,3,12,48,5,physical therapy,brown,banana,Russian,biology,physics,14,Ukraine,always,usually,yes,no,yes,no,yes,no,it's required,FALSE,FALSE,63,175,610,660,1270,3.37
270,Russia,freshman,ride the subway,Right,TRUE,TRUE,SPRING,TRUE,FALSE,skiing,"soccer, tennis",FALSE,FALSE,60,5,1,1,46,10,5,psychology,blue,peach,Russian,arts,English,15,Russia,always,sometimes,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,71,192,640,640,1280,3.73
80,Russia,freshman,ride the bus,Right,TRUE,TRUE,SPRING,TRUE,FALSE,figure skating,basketball,FALSE,FALSE,78,3,1,1,32.5,35,5,psychology,black,apple,Russian,mythology,chemistry,15,Russia,always,usually,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,65,160,550,550,1100,3.83
195,England,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,basketball,FALSE,TRUE,unknown,7,2,2,13,10,5,physical therapy,blue,plum,English,psychology,government,40,England,always,sometimes,yes,yes,no,no,no,no,it's required,TRUE,TRUE,69,160,670,720,1390,3.5
101,New York,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,volleyball,FALSE,TRUE,unknown,3,4,4,12,10,8,physical therapy,blue,apple,English,English,philosophy,10,USA,always,always,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,71,180,540,670,1210,3.13
271,Russia,freshman,ride the subway,Right,TRUE,FALSE,FALL,FALSE,FALSE,figure skating,tennis,TRUE,TRUE,65,10,3,4,14.5,15,10,nutrition/food science,black,strawberry,Russian,chemistry,physics,8,Russia,always,always,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,72,220,660,670,1330,3.13
